gene	log2FoldChange
Nr4a1	-0.560273661
Gm11647	1.703060844
Arid3b	-1.219969666
Igfbp3	-1.107302558
Ldb2	-1.622963244
11-Sep	0.635163006
Slc22a23	0.877940887
Tcf19	1.056867037
Tspan13	1.244009225
Rnf150	0.651444512
Tmem30b	-0.520069713
Ston1	-0.602649097
Pkn1	-0.981973111
Atp1a2	1.372689604
Sox7	0.901848776
Fanca	1.241897021
Zfp623	-0.816269869
1110058L19Rik	1.309047225
Ccndbp1	0.613504978
Decr1	0.80205528
Deptor	0.823916553
Dpep1	1.490551305
Rab24	0.638386485
Sat1	0.472503382
E2f1	0.836841118
S100a6	-0.503641102
Unc93b1	1.302636969
Cyba	1.078018438
Ppp1r2	-0.567637292
Mybl2	1.161370261
Bhlhe40	0.560677745
Homer3	-0.504695593
